code,name,issuer,index,market,leverage,hedge
0113G0,KoAct 미국바이오헬스케어액티브,KoAct,US_BIO,US,1.0,unhedged
413930,WON AI ESG액티브,WON,KR_ESG,KR,1.0,none
140580,RISE 우량업종대표주,RISE,KOSPI,KR,1.0,none
290080,RISE 200고배당커버드콜ATM,RISE,KOSPI200,KR,1.0,none
0105D0,SOL 한국AI소프트웨어,SOL,KR_AI,KR,1.0,none
417450,RISE 글로벌수소경제,RISE,HYDROGEN,GLOBAL,1.0,unhedged
419420,KODEX 미국클린에너지나스닥,KODEX,CLEAN_ENERGY,US,1.0,unhedged
225060,TIGER 이머징마켓MSCI레버리지(합성 H),TIGER,MSCI_EM,GLOBAL,2.0,hedge
137610,TIGER 농산물선물Enhanced(H),TIGER,AGRICULTURE,COMMODITY,1.0,hedge
464610,SOL 의료기기소부장Fn,SOL,KR_BIO,KR,1.0,none
472720,TRUSTON 주주가치액티브,TRUSTON,KR_VALUE,KR,1.0,none
451600,PLUS 국고채30년액티브,PLUS,KR_TREASURY_30Y,KR,1.0,none
176950,KODEX 국채선물10년인버스,KODEX,KR_TREASURY_10Y,KR,-1.0,none
435040,ACE 글로벌브랜드TOP10,ACE,MSCI_WORLD,GLOBAL,1.0,unhedged
453660,KODEX 미국S&P500경기소비재,KODEX,SP500_DISCRETIONARY,US,1.0,unhedged
0133E0,TIGER 차이나증권,TIGER,CHINA,CHINA,1.0,unhedged
244620,KODEX 모멘텀Plus,KODEX,KOSPI200,KR,1.0,none
0164G0,RISE 차이나AI반도체TOP4Plus,RISE,CHINA,CHINA,1.0,unhedged
0021C0,ACE 장기자산배분액티브,ACE,ASSET_ALLOCATION,GLOBAL,1.0,unhedged
0127V0,KIWOOM 미국S&P500 TOP10&배당다우비중전환,KIWOOM,SP500,US,1.0,unhedged
269370,TIGER S&P글로벌인프라(합성),TIGER,INFRASTRUCTURE,GLOBAL,1.0,unhedged
117690,TIGER 차이나항셍30,TIGER,CHINA_HSCEI,CHINA,1.0,unhedged
485810,TIME 글로벌바이오액티브,TIME,US_BIO,GLOBAL,1.0,unhedged
261110,TIGER 미국달러선물레버리지,TIGER,USD,CURRENCY,2.0,unhedged
428560,KODEX 미국ETF산업Top10 Indxx,KODEX,US_TECH,US,1.0,unhedged
463690,KODEX 미국S&P500커뮤니케이션,KODEX,SP500_COMMUNICATION,US,1.0,unhedged
234310,RISE V&S셀렉트밸류,RISE,KOSPI200,KR,1.0,none
228820,TIGER KTOP30,TIGER,KOSPI200,KR,1.0,none
131890,ACE 삼성그룹동일가중,ACE,KR_CONGLOMERATE,KR,1.0,none
404650,SOL KRX기후변화솔루션,SOL,KRX300,KR,1.0,none
452440,VITA 밸류알파액티브,VITA,KR_TECH,KR,1.0,none
0127T0,KIWOOM 미국S&P500&배당다우존스비중전환,KIWOOM,DJ_US_DIVIDEND,US,1.0,unhedged
484890,SOL 머니마켓액티브,SOL,KR_MONEY_MARKET,KR,1.0,none
465670,TIGER 미국캐시카우100,TIGER,SP500,US,1.0,unhedged
395760,PLUS ESG성장주액티브,PLUS,KR_ESG,KR,1.0,none
0087F0,ACE 차이나AI빅테크TOP2+액티브,ACE,CHINA,CHINA,1.0,unhedged
496130,TRUSTON 코리아밸류업액티브,TRUSTON,KR_VALUEUP,KR,1.0,none
114460,ACE 국고채3년,ACE,KR_TREASURY_3Y,KR,1.0,none
453060,HANARO KOFR금리액티브(합성),HANARO,KR_MONEY_MARKET,KR,1.0,none
456250,KODEX 유럽명품TOP10 STOXX,KODEX,EUROPE,EUROPE,1.0,unhedged
373490,KODEX 코리아혁신성장액티브,KODEX,KR_TECH,KR,1.0,none
140710,KODEX 운송,KODEX,KR_SECTOR,KR,1.0,none
310080,RISE 중국MSCI China(H),RISE,CHINA_CSI300,CHINA,1.0,hedge
395150,KODEX 웹툰&드라마,KODEX,KR_CULTURE,KR,1.0,none
0138D0,RISE 동학개미,RISE,KOSPI200,KR,1.0,none
253280,RISE 헬스케어,RISE,KR_BIO,KR,1.0,none
0047N0,PLUS 차이나AI테크TOP10,PLUS,CHINA,CHINA,1.0,unhedged
0093B0,RISE 엔비디아고정테크100,RISE,KR_MIXED_STOCK_BOND,KR,1.0,unhedged
0127R0,RISE 미국AI클라우드인프라,RISE,US_AI,US,1.0,unhedged
280920,PLUS 주도업종,PLUS,KOSPI,KR,1.0,none
395280,HANARO Fn K-게임,HANARO,KR_CULTURE,KR,1.0,none
